,"Category","LineNumber","Subtitles","SubNum"
,"Viewer","Single","Ah! It appears we are almost ready to depart.","S1"
,"Viewer","Multi","It's a pity we didn't have a bit more time to spend on spell-casting.","S2"
,"Viewer","Single","I presume you've been practicing the spells we worked on.","S3"
,"Viewer","Single","I presume you've been practicing the spells we worked on. I have, Professor.","S4"
,"Viewer","Single","I have, Professor.","S5"
,"Viewer","Multi","Well, I'm quite sure I've never seen anyone take so quickly to a second-hand wand.","S6"
,"Viewer","Multi","You'll be a force to be reckoned with when you get your own.","S7"
,"Viewer","Multi","Thank you, Professor Fig. I appreciate you working with me before the term begi-","S8"
,"Viewer","Single","Oh! Eleazar!","S9"
,"Viewer","Multi","George. Glad my rather cryptic description of our location did not thwart you finding us.","S10"
,"Viewer","Multi","I've apparated to more vaguely defined destinations than this. (chuckles)","S11"
,"Viewer","Multi","Though I confess I may have miscalculated slightly on my first try. Gave quite the fright to some theater-goers in the West End. (chuckles)","S12"
,"Viewer","Multi","It's been much too long. When I received your owl, I must say I -","S13"
,"Viewer","Multi","It's been much too long. When I received your owl, I must say I - Best not speak here, Eleazar. hm?","S14"
,"Viewer","Single","Best not speak here, Eleazar. hm?","S15"
,"Viewer","Multi","Of course. Why don't we speak en route to Hogwarts? We have a start-of-term feast and a sorting ceremony to get to.","S16"
,"Viewer","Multi","Wonderful idea. As long as your young charge here doesn't mind me tagging along.","S17"
,"Viewer","Single","Not at all, sir.","S18"
,"Viewer","Single","After you.","S19"
,"Viewer","Multi","Ages since I've been to the castle. Would be good to see the old pile of rocks.","S20"
,"Viewer","Single","Glad I caught you before you left for Scotland.","S21"
,"Viewer","Single","Just barely.","S22"
,"Viewer","Single","And who is your travelling companion?","S23"
,"Viewer","Single","A new student.","S24"
,"Viewer","Single","New?","S25"
,"Viewer","Single","Yes, sir. I'm starting school as a fifth-year.","S26"
,"Viewer","Single","How extraordinary.","S27"
,"Viewer","Multi","It is, indeed. None of the faculty has ever heard of anyone being admitted to Hogwarts so late.","S28"
,"Viewer","Single","Nor have I.","S29"
,"Viewer","Multi","Of course, as the other fifth-years will have been honing their magical skills for four years now, the Headmaster asked if I could get our new student up to speed a bit before the term begins.","S30"
,"Viewer","Single","Well, you couldn't have asked for a better mentor.","S31"
,"Viewer","Multi","Professor Fig is not only an exceptional teacher, he's also a remarkably intuitive - and gifted - wizard.","S32"
,"Viewer","Multi","Mr. Osric is prone to flattery. I dare say it's one of the reasons he's risen so far at the Ministry. (chuckles)","S33"
,"Viewer","Single","Have you seen this?","S34"
,"Viewer","Single","(A newspaper article regarding Ranrok and a goblin rebellion)","S35"
,"Viewer","Single","I have. Opinions differ as to how great a threat Ranrock really is.","S36"
,"Viewer","Multi","Although I've yet to convince my colleagues at the Ministry, I believe he is a significant threat.","S37"
,"Viewer","Multi","And it was your wife, Eleazar, who alerted me to his activities months ago.","S38"
,"Viewer","Single","Miriam? How?","S39"
,"Viewer","Multi","She wrote to me about Ranrock before she died -  wondering what the Ministry knew about his activities.","S40"
,"Viewer","Multi","Before I could respond, I received this. It was the last thing she sent me, Eleazar.","S41"
,"Viewer","Multi","It came to me via her owl -  But with no correspondence. I can only assume -","S42"
,"Viewer","Single","that she had to get rid of it quickly to keep it safe.","S43"
,"Viewer","Single","Presumably from Ranrock.","S44"
,"Viewer","Single","I cannot open it. Whatever magic protects this is powerful indeed.","S45"
,"Viewer","Single","It looks like goblin metal.","S46"
,"Viewer","Single","That symbol -","S47"
,"Viewer","Single","What's that glow?","S48"
,"Viewer","Single","I don't see a glow.","S49"
,"Viewer","Single","Nor do I.","S50"
,"Viewer","Single","Merlin's beard! How did you -?","S51"
,"Viewer","Single","Merlin's beard! How did you -? Wait! We do not know what -","S52"
,"Viewer","Single","Wait! We do not know what -","S53"
,"Viewer","Single","Hang on!","S54"
,"Viewer","Single","Yah! Yah!","S55"
,"Viewer","Single","Jump!","S56"
